,Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price,Price_currency,Link
0,Chevrolet,Cobalt,2022,Sedan,Ağ,1.5,106,Benzin,Avtomat,0,Bəli,23000,AZN,https://turbo.az//autos/6563353-chevrolet-cobalt
1,Toyota,Prado,2008,Offroader / SUV,Ağ,2.7,163,Benzin,Avtomat,137500,Xeyr,37000,AZN,https://turbo.az//autos/7242557-toyota-prado
2,Mercedes,S 560 4Matic,2017,Sedan,Qara,4.0,469,Benzin,Avtomat,49000,Xeyr,89777,USD,https://turbo.az//autos/7397776-mercedes-s-560-4matic
3,Kia,Sorento,2020,Offroader / SUV,Mavi,1.6,230,Hibrid,Avtomat,22000,Xeyr,38500,USD,https://turbo.az//autos/7358108-kia-sorento
4,Mercedes,CLA 45 S AMG,2016,Sedan,Qara,2.0,381,Benzin,Avtomat,91000,Xeyr,37000,USD,https://turbo.az//autos/7224943-mercedes-cla-45-s-amg
5,Mercedes,170 V,1938,Kupe,Qara,2.4,85,Benzin,Mexaniki,82000,Xeyr,850000,USD,https://turbo.az//autos/6394429-mercedes-170-v
6,Hyundai,IONIQ Hybrid,2019,Liftbek,Ağ,1.6,109,Benzin,Avtomat,160000,Xeyr,25900,AZN,https://turbo.az//autos/6900519-hyundai-ioniq-hybrid
7,Land Rover,Range Rover,2016,Offroader / SUV,Qara,5.0,510,Benzin,Avtomat,105800,Xeyr,79500,USD,https://turbo.az//autos/7398847-land-rover-range-rover
8,BMW,328,2012,Sedan,Göy,2.0,245,Benzin,Avtomat,133000,Xeyr,25800,AZN,https://turbo.az//autos/7417791-bmw-328
9,Hyundai,Sonata,2015,Sedan,Qara,2.0,245,Benzin,Avtomat,112000,Xeyr,28900,AZN,https://turbo.az//autos/7315149-hyundai-sonata
10,Mercedes,S 350,2004,Sedan,Qara,3.7,245,Benzin,Avtomat,99488,Xeyr,25900,AZN,https://turbo.az//autos/7437719-mercedes-s-350
11,Hyundai,Santa Fe,2007,Offroader / SUV,Qara,2.2,150,Dizel,Avtomat,221732,Xeyr,20500,AZN,https://turbo.az//autos/7430341-hyundai-santa-fe
12,Mercedes,S 500,2007,Sedan,Göy,5.5,388,Benzin,Avtomat,298000,Xeyr,27700,AZN,https://turbo.az//autos/7365625-mercedes-s-500
13,Toyota,Prius,2007,Liftbek,Mavi,1.5,76,Hibrid,Avtomat,194000,Xeyr,16200,AZN,https://turbo.az//autos/7438972-toyota-prius
14,BMW,X7,2023,Offroader / SUV,Qara,3.0,340,Benzin,Avtomat,3000,Xeyr,139777,USD,https://turbo.az//autos/7281106-bmw-x7
15,Ford,Transit,2010,Mikroavtobus,Ağ,2.4,140,Dizel,Mexaniki,48000,Xeyr,31000,AZN,https://turbo.az//autos/7355155-ford-transit
16,Kia,Cadenza,2015,Sedan,Ağ,3.5,290,Benzin,Avtomat,128000,Xeyr,22300,USD,https://turbo.az//autos/7418371-kia-cadenza
17,Hyundai,Elantra,2015,Hetçbek,Göy,2.0,150,Benzin,Avtomat,152000,Xeyr,20800,AZN,https://turbo.az//autos/7440423-hyundai-elantra
18,Toyota,Camry,2021,Sedan,Qara,2.5,200,Hibrid,Avtomat,30000,Xeyr,38500,USD,https://turbo.az//autos/7315195-toyota-camry
19,Mercedes,C 200,1998,Sedan,Tünd qırmızı,2.0,136,Benzin,Avtomat,371317,Xeyr,11200,AZN,https://turbo.az//autos/7438076-mercedes-c-200
20,LADA (VAZ),2107,2006,Sedan,Tünd qırmızı,1.6,75,Benzin,Mexaniki,100000,Xeyr,5200,AZN,https://turbo.az//autos/7440425-lada-vaz-2107
21,Kia,Rio,2009,Sedan,Ağ,1.4,97,Benzin,Mexaniki,412000,Xeyr,8700,AZN,https://turbo.az//autos/7439201-kia-rio
22,GAZ,2705,1997,Furqon,Sarı,2.4,131,Benzin,Mexaniki,75022,Xeyr,5750,AZN,https://turbo.az//autos/7440422-gaz-2705
23,Mercedes,C 200,1997,Sedan,Göy,2.0,136,Benzin,Avtomat,259952,Xeyr,12900,AZN,https://turbo.az//autos/7440421-mercedes-c-200
24,BMW,530,2018,Sedan,Gümüşü,2.0,249,Benzin,Avtomat,117000,Xeyr,37000,USD,https://turbo.az//autos/7440388-bmw-530
25,BMW,528,2014,Sedan,Ağ,2.0,245,Benzin,Avtomat,206000,Xeyr,22300,USD,https://turbo.az//autos/7434196-bmw-528
26,Toyota,Prius,2005,Liftbek,Qara,1.5,76,Hibrid,Variator,298000,Xeyr,15200,AZN,https://turbo.az//autos/7423232-toyota-prius
