Mark,Model,Year,Body_type,Color,Capacity,HorsePowers,EngineType,Transmission,Mileage,Is_new,Price
Chevrolet,Cobalt,2022,Sedan,Ağ,1.5,-0.8320182468891021,Benzin,Avtomat,-1.4783628649294864,Bəli,13529.411764705883
Toyota,Prado,2008,Offroader / SUV,Ağ,2.7,-0.27527092986442575,Benzin,Avtomat,-0.14367591276374805,Xeyr,21764.70588235294
Mercedes,S 560 4Matic,2017,Sedan,Qara,4.0,2.713583087846995,Benzin,Avtomat,-1.0027289692486052,Xeyr,89777.0
Kia,Sorento,2020,Offroader / SUV,Mavi,1.6,0.37915135505931663,Hibrid,Avtomat,-1.2648129525829683,Xeyr,38500.0
Mercedes,CLA 45 S AMG,2016,Sedan,Qara,2.0,1.8540433703352137,Benzin,Avtomat,-0.5950427729507068,Xeyr,37000.0
Hyundai,IONIQ Hybrid,2019,Liftbek,Ağ,1.6,-0.8027157565193823,Benzin,Avtomat,0.07472740668155457,Xeyr,15235.29411764706
Land Rover,Range Rover,2016,Offroader / SUV,Qara,5.0,3.1140504562331652,Benzin,Avtomat,-0.45138192282668554,Xeyr,79500.0
BMW,328,2012,Sedan,Göy,2.0,0.5256638069079157,Benzin,Avtomat,-0.18735657665280858,Xeyr,15176.470588235294
Hyundai,Sonata,2015,Sedan,Qara,2.0,0.5256638069079157,Benzin,Avtomat,-0.3911996748017577,Xeyr,17000.0
Mercedes,S 350,2004,Sedan,Qara,3.7,0.5256638069079157,Benzin,Avtomat,-0.5126513340417411,Xeyr,15235.29411764706
Hyundai,Santa Fe,2007,Offroader / SUV,Qara,2.2,-0.4022483881332116,Dizel,Avtomat,0.6739484607258844,Xeyr,12058.823529411766
Mercedes,S 500,2007,Sedan,Göy,5.5,1.9224158478645599,Benzin,Avtomat,1.4142677659460774,Xeyr,16294.117647058823
Toyota,Prius,2007,Liftbek,Mavi,1.5,-1.1250431505863003,Hibrid,Avtomat,0.4047590893989008,Xeyr,9529.411764705883
BMW,X7,2023,Offroader / SUV,Qara,3.0,1.453576001949043,Benzin,Avtomat,-1.4492424223367795,Xeyr,139777.0
Kia,Cadenza,2015,Sedan,Ağ,3.5,0.9652011624537128,Benzin,Avtomat,-0.23589064764065362,Xeyr,22300.0
Hyundai,Elantra,2015,Hetçbek,Göy,2.0,-0.4022483881332116,Benzin,Avtomat,-0.002927106898997473,Xeyr,12235.29411764706
Toyota,Camry,2021,Sedan,Qara,2.5,0.08612645136211854,Hibrid,Avtomat,-1.1871584390024164,Xeyr,38500.0
Mercedes,C 200,1998,Sedan,Tünd qırmızı,2.0,-0.5389933431919041,Benzin,Avtomat,2.1259422624692443,Xeyr,6588.235294117647
LADA (VAZ),2107,2006,Sedan,Tünd qırmızı,1.6,-1.1348106473762067,Benzin,Mexaniki,-0.5076814451725858,Xeyr,3058.823529411765
Kia,Rio,2009,Sedan,Ağ,1.4,-0.9199257179982616,Benzin,Mexaniki,2.520844584468944,Xeyr,5117.64705882353
Mercedes,C 200,1997,Sedan,Göy,2.0,-0.5389933431919041,Benzin,Avtomat,1.0449428993569718,Xeyr,7588.235294117647
BMW,530,2018,Sedan,Gümüşü,2.0,0.5647337940675421,Benzin,Avtomat,-0.3426656038139127,Xeyr,37000.0
BMW,528,2014,Sedan,Ağ,2.0,0.5256638069079157,Benzin,Avtomat,0.5212408597697289,Xeyr,22300.0
Toyota,Prius,2005,Liftbek,Qara,1.5,-1.1250431505863003,Hibrid,Variator,1.4142677659460774,Xeyr,8941.176470588236
Toyota,Camry,2018,Sedan,Ağ,2.5,-0.09945598764610691,Benzin,Avtomat,-0.798885871099656,Xeyr,29500.0
Nissan,Sentra,2014,Sedan,Ağ,1.6,-0.7245757822001295,Benzin,Avtomat,0.14461646890405142,Xeyr,10294.117647058823
Toyota,Corolla,2021,Sedan,Ağ,1.8,-0.4999233560322776,Hibrid,Avtomat,-1.1580379964097092,Xeyr,24000.0
Hyundai,Santa Fe,2015,Offroader / SUV,Yaş Asfalt,2.0,-0.0701534972763871,Dizel,Avtomat,-0.15823613406010156,Xeyr,23411.764705882353
Hyundai,Elantra,2014,Sedan,Göy,1.8,-0.4022483881332116,Benzin,Avtomat,-1.1415364122738418,Xeyr,12941.176470588236
Mercedes,CLA 250,2014,Sedan,Gümüşü,2.0,0.19356891605109117,Benzin,Avtomat,-0.5028280380738013,Xeyr,20500.0
Kia,Cerato,2016,Sedan,Qara,2.0,-0.4022483881332116,Benzin,Avtomat,-0.7790548496940225,Xeyr,14117.64705882353
Hyundai,Santa Fe,2010,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,-0.3135451612212057,Xeyr,15764.705882352942
Land Rover,RR Sport,2022,Offroader / SUV,Qara,3.0,1.0628761303527787,Dizel,Avtomat,-1.4783628649294864,Bəli,177000.0
BMW,X7,2019,Offroader / SUV,Qara,4.4,3.3094003920312973,Benzin,Avtomat,-1.2842265809781064,Xeyr,124500.0
Land Rover,RR Evoque,2017,Offroader / SUV,Boz,2.0,0.4768263229583827,Benzin,Avtomat,-1.4783628649294864,Bəli,78500.0
Hyundai,Elantra,2012,Sedan,Qara,1.8,-0.4022483881332116,Benzin,Avtomat,-0.6629904723336899,Xeyr,12235.29411764706
BMW,528,2014,Sedan,Ağ,2.0,0.5256638069079157,Benzin,Avtomat,0.2688636906329347,Xeyr,20294.117647058825
Kia,Cerato,2014,Sedan,Gümüşü,1.6,-0.5975983239313437,Dizel,Avtomat,0.0941410350766926,Xeyr,13411.764705882353
Mercedes,ML 63 AMG,2010,Offroader / SUV,Ağ,6.2,3.1140504562331652,Benzin,Avtomat,0.35622501841105575,Xeyr,20500.0
Toyota,Prius,2012,Liftbek,Gümüşü,1.8,-0.9003907244184484,Hibrid,Variator,0.657136258535695,Xeyr,11110.588235294117
Toyota,Camry,2011,Sedan,Ağ,2.5,-0.09945598764610691,Benzin,Avtomat,0.2640102835341502,Xeyr,20300.0
Hyundai,Santa Fe,2010,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,-0.3135451612212057,Xeyr,15764.705882352942
LADA (VAZ),21099,1997,Sedan,Qəhvəyi,1.5,-1.2324856152752728,Benzin,Mexaniki,-1.3327606519659514,Xeyr,2764.7058823529414
Kia,Sportage,2010,Offroader / SUV,Ağ,2.0,-0.5194583496120908,Dizel,Avtomat,-0.002927106898997473,Xeyr,15764.705882352942
LADA (VAZ),2106,2005,Sedan,Göy,1.5,-1.2324856152752728,Benzin,Mexaniki,-1.3735292715957412,Xeyr,3117.6470588235293
Mercedes,S 500,2008,Sedan,Ağ,5.5,1.9224158478645599,Benzin,Avtomat,0.589188559152712,Xeyr,33300.0
Opel,Vectra,1998,Hetçbek,Qızılı,1.6,-0.8808557308386351,Benzin,Avtomat,1.7734198912561308,Xeyr,3647.0588235294117
Kia,Ceed,2011,Hetçbek,Qara,1.4,-0.8027157565193823,Benzin,Mexaniki,-0.4289494752161036,Xeyr,8647.058823529413
Mercedes,E 220,2010,Sedan,Qara,2.2,-0.20689845233507956,Dizel,Avtomat,0.9483406844627652,Xeyr,16764.70588235294
Hyundai,Tucson,2016,Offroader / SUV,Ağ,2.0,-0.4022483881332116,Benzin,Avtomat,-0.50862300614975,Xeyr,19588.235294117647
BMW,328,2015,Sedan,Qara,2.0,0.5256638069079157,Benzin,Avtomat,-0.09028843467711853,Xeyr,21000.0
Hyundai,Santa Fe,2013,Offroader / SUV,Ağ,2.0,-0.0701534972763871,Dizel,Avtomat,-0.6241632155434139,Xeyr,21647.058823529413
Mercedes,GLS 350,2018,Offroader / SUV,Yaş Asfalt,3.0,0.5647337940675421,Benzin,Avtomat,-0.682404100728828,Xeyr,68500.0
BMW,528,2012,Sedan,Ağ,2.0,0.5256638069079157,Benzin,Avtomat,-0.24559746183822265,Xeyr,20294.117647058825
Toyota,Prado,2007,Offroader / SUV,Qara,2.7,-0.23620094270479935,Benzin,Avtomat,1.3560268807606635,Xeyr,15000.0
LADA (VAZ),Niva,2013,Offroader / SUV,Ağ,1.7,-1.0859731634266738,Benzin,Mexaniki,0.45329316038674583,Xeyr,4500.0
Toyota,Prado,2013,Offroader / SUV,Ağ,2.7,-0.23620094270479935,Benzin,Avtomat,0.10384784927426159,Xeyr,30500.0
Toyota,RAV4,2019,Offroader / SUV,Ağ,2.0,-0.15806096838554654,Benzin,Avtomat,-1.033790774680826,Xeyr,32200.0
Toyota,Prius,2008,Liftbek,Qara,1.5,-1.1250431505863003,Hibrid,Avtomat,1.577225762694866,Xeyr,8705.882352941177
LADA (VAZ),2110,2011,Sedan,Göy,1.6,-1.1348106473762067,Benzin,Mexaniki,0.46299997458431486,Xeyr,5705.882352941177
Mercedes,G 63 AMG,2013,Offroader / SUV,Ağ,5.5,3.44614534708999,Benzin,Avtomat,-0.5008866752342875,Xeyr,67777.0
Mercedes,CLA 250,2014,Sedan,Qara,2.0,0.19356891605109117,Benzin,Avtomat,-0.5659223303579999,Xeyr,24500.0
BMW,328,2014,Sedan,Qara,2.0,0.5256638069079157,Benzin,Avtomat,0.03590014989127855,Xeyr,16411.764705882353
BMW,X5,2020,Offroader / SUV,Göy,3.0,1.453576001949043,Benzin,Avtomat,-0.9444880840631911,Xeyr,82000.0
LADA (VAZ),Priora,2015,Sedan,Göy,1.6,-0.8320182468891021,Benzin,Mexaniki,0.2785705048305037,Xeyr,7882.352941176471
Kia,Optima,2012,Sedan,Ağ,2.0,-0.4022483881332116,Benzin,Avtomat,0.4144659035964698,Xeyr,14470.588235294119
Mercedes,GLS 450,2020,Offroader / SUV,Ağ,3.0,1.7172984152765212,Benzin,Avtomat,-1.3667345016574428,Xeyr,98500.0
BMW,530,2019,Sedan,Boz,2.0,0.5940362844372619,Benzin,Avtomat,-1.090090297026726,Xeyr,47700.0
LADA (VAZ),2106,2005,Sedan,Ağ,1.5,-1.2324856152752728,Benzin,Mexaniki,-1.3036402093732444,Xeyr,2882.3529411764707
Chevrolet,Cruze,2012,Sedan,Ağ,1.6,-0.7636457693597559,Benzin,Mexaniki,2.229640158541874,Xeyr,7647.058823529412
